diagnosis,code_type,code,aux,explanation
drug_abuse,ICD10,R781,,Finding of opiate in blood
drug_abuse,ICD10,R782,,Finding of cocaine on blood
drug_abuse,ICD10,R783,,Finding of hallucinogen in blood
drug_abuse,ICD10,R784,,Finding of other drugs of addictive potential in blood
drug_abuse,ICD10,R785,,Finding of other psychotropic drug in blood
drug_abuse,ICD10,R786,,Finding of steroid agent in blood
drug_abuse,ICD10,R787,,Finding of abnormal level of heavy metals in blood
drug_abuse,ICD10,R788,,"Finding of other specified substances, not normally found in blood"
drug_abuse,ICD10,R789,,"Finding of unspecified substance, not normally found in blood"
drug_abuse,ICD10,Z812,,Family history of tobacco abuse and dependence
drug_abuse,ICD10,Z813,,Family history of other psychoactive substance abuse and dependence
drug_abuse,ICD10,Z814,,Family history of othe substance abuse and dependence
drug_abuse,ICD9,291,,"Alcohol (withdraw, amnestic, jealousy, psychosis, etc)"
drug_abuse,ICD9,2920,,Drug withdrawal syndrome
drug_abuse,ICD9,2921,,Drug-induced hallucinosis and delusions
drug_abuse,ICD9,2922,,Pathological drug intoxication
drug_abuse,ICD9,2923,,??
drug_abuse,ICD9,2924,,??
drug_abuse,ICD9,2925,,??
drug_abuse,ICD9,2926,,??
drug_abuse,ICD9,2927,,??
drug_abuse,ICD9,2928,,"Drug-induced (delirium, dementia, amnestic etc)"
drug_abuse,ICD9,2929,,Unspecified drug-induced mental disorder
drug_abuse,ICD9,3040,,Opioid type dependence
drug_abuse,ICD9,3041,,Barbiturate/similarly acting sedative/hypnotic dependence
drug_abuse,ICD9,3042,,Cocaine dependence
drug_abuse,ICD9,3043,,Cannabis dependence
drug_abuse,ICD9,3044,,Amphetamine and other psychostimulant dependence
drug_abuse,ICD9,3045,,Hallucinogen dependence
drug_abuse,ICD9,3046,,Other specified drug dependence
drug_abuse,ICD9,3047,,Comb. of opioid type drug with any other drug dependence
drug_abuse,ICD9,3048,,Combinations of drug dependence excluding opioid type drug
drug_abuse,ICD9,3049,,Unspecified drug dependence
drug_abuse,ICD9,3051,,Tobacco use disorder
drug_abuse,ICD9,3052,,Cannabis use disorder
drug_abuse,ICD9,3053,,Hallucinogen use disorder
drug_abuse,ICD9,3054,,Barbiturate/similarly acting sedative or hypnotic use disord
drug_abuse,ICD9,3055,,Opioid use disorder
drug_abuse,ICD9,3056,,Cocaine use disorder
drug_abuse,ICD9,3057,,Amphetamine or related acting sympathomimetic use disorder
drug_abuse,ICD9,3058,,Antidepressant type use disorder
drug_abuse,ICD9,3059,,"Other, mixed, or unspecified drug use disorder"
drug_abuse,ICD9,V1581,,Personal history of tobacco use
drug_abuse,incapacity,6,,"Mental disorders, substance abuse, other drugs"
drug_abuse,incapacity,171,,"Mental disorders, substance abuse, drugs"
drug_abuse,incapacity,172,,"Mental disorders, substance abuse, other substance abuse"
drug_abuse,pharm_chemical,1252,multiple,Naltrexone hydrochloride
drug_abuse,pharm_chemical,1432,sole,Disulfiram
drug_abuse,pharm_chemical,3793,multiple,Naltrexone hydrochloride
drug_abuse,socrates,1301,,Alcohol / drug related disorder (excluding Korsakov's syndrome)
dysthymia,DSM,3004,,Neurotic depression
dysthymia,ICD10,F341,,Dysthymic disorder
dysthymia,ICD9,3004,,Neurotic depression
dysthymia,socrates,1304,,Depression
schizophrenia,DSM,295,,Schizophrenic psychoses
schizophrenia,ICD10,F20,,Schizophrenia
schizophrenia,ICD10,F21,,Schizotypal disorder
schizophrenia,ICD10,F22,,Delusional disorders
schizophrenia,ICD10,F23,,Brief psychotic disorders
schizophrenia,ICD10,F24,,Shared psychotic disorder
schizophrenia,ICD10,F25,,Schizoaffective disorders
schizophrenia,ICD9,295,,Schizophrenic psychoses
schizophrenia,incapacity,163,,Schizophrenia
schizophrenia,pharm_chemical,1011,multiple,Risperidone
schizophrenia,pharm_chemical,1078,sole,Clozapine
schizophrenia,pharm_chemical,1140,multiple,Olanzapine
schizophrenia,pharm_chemical,1183,multiple,Quetiapine
schizophrenia,pharm_chemical,1532,multiple,Flupenthixol decanoate
schizophrenia,pharm_chemical,1533,multiple,Fluphenazine decanoate
schizophrenia,pharm_chemical,1535,multiple,Fluphenazine hydrochloride
schizophrenia,pharm_chemical,3873,multiple,Ziprasidone
schizophrenia,pharm_chemical,3878,multiple,Aripiprazole
schizophrenia,pharm_chemical,3884,sole,Amisulpride
schizophrenia,pharm_chemical,3940,multiple,Olanzapine pamoate monohydrate
schizophrenia,pharm_chemical,4025,sole,Paliperidone
schizophrenia,socrates,1306,,Schizophrenia
